map_number,robot_id,trajectory_id,t,x,y,vx,vy,speed
1,1,map_001_robot_1__control_points_20260806_125527,8.8,3.271945681249405,5.02642104280178,0.5658526396208465,-0.5620918583666388,0.7975816365789405
1,1,map_001_robot_1__control_points_20260806_125527,8.9,3.3320242523528316,4.973755856559876,0.6367295456932922,-0.4788204238951401,0.7966765420783444
1,1,map_001_robot_1__control_points_20260806_125527,9.0,3.399291590388063,4.930656958022752,0.6996375232789696,-0.38160673599483985,0.7969418830357494
1,1,map_001_robot_1__control_points_20260806_125527,9.1,3.4719517570086253,4.897434509360909,0.7474957744558921,-0.2762456242025486,0.7969075088869909
1,1,map_001_robot_1__control_points_20260806_125527,9.200000000000001,3.548790745279242,4.8754078331822415,0.7778581130401996,-0.17939188627001812,0.7982760756041578
1,1,map_001_robot_1__control_points_20260806_125527,9.3,3.6275233796166657,4.861556132106905,0.7921394005190159,-0.1020135190753173,0.7986811553609838
1,1,map_001_robot_1__control_points_20260806_125527,9.4,3.707218625383045,4.8550051293671785,0.7983766902257585,-0.03360719076405516,0.799083714492348
1,1,map_001_robot_1__control_points_20260806_125527,9.5,3.787198717661817,4.854834693954094,0.79920981426541,0.020977746703177758,0.7994850799576525
1,1,map_001_robot_1__control_points_20260806_125527,9.600000000000001,3.8670605882361286,4.859200678707814,0.7971931244654655,0.06223108982494452,0.7996184003859663
1,1,map_001_robot_1__control_points_20260806_125527,9.700000000000001,3.9466373425549106,4.8672809119190825,0.7939667746096291,0.09591141183715379,0.7997388561928286
1,1,map_001_robot_1__control_points_20260806_125527,9.8,4.025853943158054,4.8783829610752445,0.7902788697123384,0.1232392438164922,0.7998303589701206
1,1,map_001_robot_1__control_points_20260806_125527,9.9,4.104693116497377,4.891928760682381,0.7865919161363806,0.1452672968859261,0.7998933866932808
1,1,map_001_robot_1__control_points_20260806_125527,10.0,4.183172326385329,4.90743642045243,0.78317838728141,0.16286927933147766,0.7999342400814364
1,1,map_001_robot_1__control_points_20260806_125527,10.100000000000001,4.26132879395366,4.924502616548677,0.7801886190994978,0.176752820957212,0.7999598996754234
1,1,map_001_robot_1__control_points_20260806_125527,10.200000000000001,4.33921005020523,4.942786984643872,0.777696818516791,0.18748135323430404,0.7999759992285421
1,1,map_001_robot_1__control_points_20260806_125527,10.3,4.416868157657018,4.961998887195538,0.7757312635592513,0.1954972480043402,0.7999863544089381
1,1,map_001_robot_1__control_points_20260806_125527,10.4,4.49435630291708,4.98188643424474,0.7742936508732683,0.2011427730245785,0.799993170547519
1,1,map_001_robot_1__control_points_20260806_125527,10.5,4.571726887831671,5.0022274418004535,0.7733712094708132,0.20467764887726858,0.7999974797387019
1,1,map_001_robot_1__control_points_20260806_125527,10.600000000000001,4.649030544811243,5.022821964020194,0.7729440672139525,0.20629305605902104,0.7999995975120346
